index,name,platform,publisher,developer,cscore,uscore,date,genre
0,The Legend of Zelda: Ocarina of Time,Nintendo64,,Nintendo,9.9,9.1,1998,Action
1,Tony Hawk's Pro Skater 2,PlayStation,,NeversoftEntertainment,9.8,7.4,2000,Sports
2,Grand Theft Auto IV,PlayStation3,,RockstarNorth,9.8,7.6,2008,Action
3,SoulCalibur,Dreamcast,,Namco,9.8,8.5,1999,Action
4,Grand Theft Auto IV,Xbox360,,RockstarNorth,9.8,7.9,2008,Action
5,Super Mario Galaxy,Wii,,Nintendo,9.7,9.0,2007,Action
6,Super Mario Galaxy 2,Wii,,NintendoEADTokyo,9.7,9.1,2010,Action
7,Red Dead Redemption 2,XboxOne,,RockstarGames,9.7,7.8,2018,Action
8,Grand Theft Auto V,XboxOne,,RockstarNorth,9.7,7.8,2014,Action
9,Grand Theft Auto V,PlayStation3,,RockstarNorth,9.7,8.3,2013,Modern
10,Grand Theft Auto V,Xbox360,,RockstarNorth,9.7,8.3,2013,Modern
11,Tony Hawk's Pro Skater 2,Dreamcast,,Treyarch,9.7,6.2,2000,Sports
12,The Legend of Zelda: Breath of the Wild,Switch,,Nintendo,9.7,8.6,2017,Action
13,Tony Hawk's Pro Skater 3,PlayStation2,,NeversoftEntertainment,9.7,7.6,2001,Sports
14,Perfect Dark,Nintendo64,,RareLtd.,9.7,8.9,2000,Action
15,Red Dead Redemption 2,PlayStation4,,RockstarGames,9.7,8.4,2018,Action
16,Grand Theft Auto V,PlayStation4,,RockstarNorth,9.7,8.4,2014,Action
17,Metroid Prime,GameCube,,RetroStudios,9.7,9.2,2002,Action
18,Grand Theft Auto III,PlayStation2,,DMADesign,9.7,8.4,2001,Action
19,Super Mario Odyssey,Switch,,Nintendo,9.7,8.9,2017,Action
20,Halo: Combat Evolved,Xbox,,BungieSoftware,9.7,8.5,2001,Action
21,NFL 2K1,Dreamcast,,VisualConcepts,9.7,6.4,2000,Sports
22,Half-Life 2,PC,,ValveSoftware,9.6,9.1,2004,Action
23,Grand Theft Auto V,PC,,RockstarNorth,9.6,7.8,2015,Modern
24,The Legend of Zelda: Breath of the Wild,WiiU,,Nintendo,9.6,8.2,2017,Fantasy
25,BioShock,Xbox360,,"IrrationalGames,2KMarin",9.6,8.9,2007,Action
26,GoldenEye 007,Nintendo64,,RareLtd.,9.6,9.0,1997,Action
27,Uncharted 2: Among Thieves,PlayStation3,,NaughtyDog,9.6,8.8,2009,Action
28,Resident Evil 4,GameCube,,Capcom,9.6,9.2,2005,Action
29,The Orange Box,Xbox360,,ValveSoftware,9.6,8.8,2007,Action
30,The Orange Box,PC,,ValveSoftware,9.6,9.2,2007,Action
31,Batman: Arkham City,PlayStation3,,RocksteadyStudios,9.6,8.8,2011,Action
32,Tekken 3,PlayStation,,Namco,9.6,9.1,1998,Action
33,Mass Effect 2,Xbox360,,BioWare,9.6,8.9,2010,Role-Playing
